Point Name,Equipment ID,Point Kind,Direction,Units,Unit System,Range Min,Range Max,Controller ID,BACnet Object Type,BACnet Instance,Modbus Register,Modbus Type,Source,Source Reference,Description,Tags
RTU-1 MAT,RTU-1,sensor,input,degF,IP,35,95,ROOF-CTRL-01,AI,1161,41161,,point_list,RTU-1-1161,Mixed air temperature,"temperature,mixed-air"
RTU-1 RAT,RTU-1,sensor,input,degF,IP,60,85,ROOF-CTRL-01,AI,1162,41162,,point_list,RTU-1-1162,Return air temperature,"temperature,return-air"
RTU-1 RA HUM,RTU-1,sensor,input,pct,IP,15,85,ROOF-CTRL-01,AI,1163,41163,,point_list,RTU-1-1163,Return air humidity,"humidity,return-air"
RTU-1 SAT,RTU-1,sensor,input,degF,IP,45,85,ROOF-CTRL-01,AI,1164,41164,,point_list,RTU-1-1164,Supply air temperature,"temperature,supply-air"
RTU-1 SAT-SP,RTU-1,setpoint,input,degF,IP,50,65,ROOF-CTRL-01,AV,1165,41165,,point_list,RTU-1-1165,Supply air temperature setpoint,"setpoint,supply-air"
RTU-1 DUCT SP,RTU-1,sensor,input,inWC,IP,0,4,ROOF-CTRL-01,AI,1166,41166,,point_list,RTU-1-1166,Supply duct static pressure,"pressure,duct"
RTU-1 SF STATUS,RTU-1,status,input,,,,,ROOF-CTRL-01,BI,1167,41167,,point_list,RTU-1-1167,Supply fan proof status,"status,supply-fan"
RTU-1 SF CMD,RTU-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1168,41168,,point_list,RTU-1-1168,Supply fan VFD speed command,"command,supply-fan,vfd"
RTU-1 CLG VALVE,RTU-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1169,41169,,point_list,RTU-1-1169,Cooling valve command,"command,cooling-valve"
RTU-1 HTG VALVE,RTU-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1170,41170,,point_list,RTU-1-1170,Heating valve command,"command,heating-valve"
RTU-1 OA DAMPER,RTU-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1171,41171,,point_list,RTU-1-1171,Outside air damper command,"command,damper"
RTU-1 FREEZE STAT,RTU-1,status,input,,,,,ROOF-CTRL-01,BI,1172,41172,,point_list,RTU-1-1172,Freeze stat status,"freeze-protection,status"
RTU-1 DUCT SMOKE,RTU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1173,41173,,point_list,RTU-1-1173,Duct smoke detector alarm,"alarm,smoke"
RTU-1 AREA SMOKE,RTU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1174,41174,,point_list,RTU-1-1174,Area smoke detector alarm,"alarm,smoke"
RTU-1 FIRE ALARM,RTU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1175,41175,,point_list,RTU-1-1175,Fire alarm interlock,"alarm,fire"
RTU-1 FILTER DP,RTU-1,sensor,input,inWC,IP,0,3,ROOF-CTRL-01,AI,1176,41176,,point_list,RTU-1-1176,Filter differential pressure,"pressure,filter"
RTU-1 DX1 CMD,RTU-1,status,output,,,,,ROOF-CTRL-01,BO,1177,41177,,point_list,RTU-1-1177,Compressor stage 1 command,"command,dx"
RTU-1 DX2 CMD,RTU-1,status,output,,,,,ROOF-CTRL-01,BO,1178,41178,,point_list,RTU-1-1178,Compressor stage 2 command,"command,dx"
RTU-1 FLT-ALM,RTU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1179,41179,,point_list,RTU-1-1179,Unit fault alarm,"alarm,rtu"
FCU-1 ZN-T,FCU-1,sensor,input,degF,IP,60,85,ROOF-CTRL-01,AI,1180,41180,,point_list,FCU-1-1180,Zone temperature,"temperature,zone"
FCU-1 ZN-T SP,FCU-1,setpoint,input,degF,IP,68,76,ROOF-CTRL-01,AV,1181,41181,,point_list,FCU-1-1181,Zone temperature setpoint,"setpoint,zone"
FCU-1 FAN CMD,FCU-1,status,output,,,,,ROOF-CTRL-01,BO,1182,41182,,point_list,FCU-1-1182,Fan enable command,"command,fan"
FCU-1 FAN STS,FCU-1,status,input,,,,,ROOF-CTRL-01,BI,1183,41183,,point_list,FCU-1-1183,Fan proof,"status,fan"
FCU-1 VALVE CMD,FCU-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1184,41184,,point_list,FCU-1-1184,Control valve command,"command,valve"
FCU-1 DAT,FCU-1,sensor,input,degF,IP,50,95,ROOF-CTRL-01,AI,1185,41185,,point_list,FCU-1-1185,Discharge air temperature,"temperature,discharge-air"
FCU-1 COND ALM,FCU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1186,41186,,point_list,FCU-1-1186,Condensate alarm,"alarm,fcu"
FCU-1 FILTER ALM,FCU-1,alarm,input,,,,,ROOF-CTRL-01,BI,1187,41187,,point_list,FCU-1-1187,Filter alarm,"alarm,fcu"
ERU-1 OA-T,ERU-1,sensor,input,degF,IP,-20,110,ZONE-CTRL-02,AI,1188,41188,,point_list,ERU-1-1188,Outside air temperature,"temperature,outside-air"
ERU-1 EA-T,ERU-1,sensor,input,degF,IP,40,95,ZONE-CTRL-02,AI,1189,41189,,point_list,ERU-1-1189,Exhaust air temperature,"temperature,exhaust-air"
ERU-1 SA-T,ERU-1,sensor,input,degF,IP,45,90,ZONE-CTRL-02,AI,1190,41190,,point_list,ERU-1-1190,Supply air temperature,"temperature,supply-air"
ERU-1 WHEEL CMD,ERU-1,status,output,,,,,ZONE-CTRL-02,BO,1191,41191,,point_list,ERU-1-1191,Energy wheel enable command,"command,wheel"
ERU-1 WHEEL STS,ERU-1,status,input,,,,,ZONE-CTRL-02,BI,1192,41192,,point_list,ERU-1-1192,Energy wheel proof,"status,wheel"
ERU-1 SF CMD,ERU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1193,41193,,point_list,ERU-1-1193,Supply fan speed command,"command,supply-fan"
ERU-1 EF CMD,ERU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1194,41194,,point_list,ERU-1-1194,Exhaust fan speed command,"command,exhaust-fan"
ERU-1 FILTER DP,ERU-1,sensor,input,inWC,IP,0,3,ZONE-CTRL-02,AI,1195,41195,,point_list,ERU-1-1195,Filter differential pressure,"pressure,filter"
ERU-1 FAULT ALM,ERU-1,alarm,input,,,,,ZONE-CTRL-02,BI,1196,41196,,point_list,ERU-1-1196,ERU fault alarm,"alarm,eru"
ERU-1 BYPASS DAMPER,ERU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1197,41197,,point_list,ERU-1-1197,Wheel bypass damper command,"command,damper"
MAU-1 OAT,MAU-1,sensor,input,degF,IP,-20,110,ZONE-CTRL-02,AI,1198,41198,,point_list,MAU-1-1198,Outside air temperature,"temperature,outside-air"
MAU-1 SAT,MAU-1,sensor,input,degF,IP,45,105,ZONE-CTRL-02,AI,1199,41199,,point_list,MAU-1-1199,Supply air temperature,"temperature,supply-air"
MAU-1 SAT-SP,MAU-1,setpoint,input,degF,IP,55,85,ZONE-CTRL-02,AV,1200,41200,,point_list,MAU-1-1200,Supply air temperature setpoint,"setpoint,supply-air"
MAU-1 SF CMD,MAU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1201,41201,,point_list,MAU-1-1201,Supply fan speed command,"command,supply-fan"
MAU-1 SF STATUS,MAU-1,status,input,,,,,ZONE-CTRL-02,BI,1202,41202,,point_list,MAU-1-1202,Supply fan proof,"status,supply-fan"
MAU-1 GAS VLV,MAU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1203,41203,,point_list,MAU-1-1203,Gas valve command,"command,gas-heat"
MAU-1 OA DAMPER,MAU-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1204,41204,,point_list,MAU-1-1204,Outside air damper command,"command,damper"
MAU-1 FILTER DP,MAU-1,sensor,input,inWC,IP,0,3,ZONE-CTRL-02,AI,1205,41205,,point_list,MAU-1-1205,Filter differential pressure,"pressure,filter"
MAU-1 SMK-ALM,MAU-1,alarm,input,,,,,ZONE-CTRL-02,BI,1206,41206,,point_list,MAU-1-1206,Smoke shutdown alarm,"alarm,smoke"
MAU-1 FLT-ALM,MAU-1,alarm,input,,,,,ZONE-CTRL-02,BI,1207,41207,,point_list,MAU-1-1207,Unit fault alarm,"alarm,mau"
EF-1 FAN CMD,EF-1,actuator,output,pct,IP,0,100,ZONE-CTRL-02,AO,1208,41208,,point_list,EF-1-1208,Exhaust fan speed command,"command,fan"
EF-1 FAN STS,EF-1,status,input,,,,,ZONE-CTRL-02,BI,1209,41209,,point_list,EF-1-1209,Exhaust fan proof,"status,fan"
EF-1 FLOW,EF-1,sensor,input,CFM,IP,0,3500,ZONE-CTRL-02,AI,1210,41210,,point_list,EF-1-1210,Exhaust airflow,"airflow,fan"
EF-1 SPD,EF-1,sensor,input,pct,IP,0,100,ZONE-CTRL-02,AI,1211,41211,,point_list,EF-1-1211,Exhaust fan speed feedback,"feedback,fan"
EF-1 FAULT ALM,EF-1,alarm,input,,,,,ZONE-CTRL-02,BI,1212,41212,,point_list,EF-1-1212,Exhaust fan fault alarm,"alarm,fan"
EF-1 RUN HRS,EF-1,sensor,input,hrs,IP,0,50000,ZONE-CTRL-02,AI,1213,41213,,point_list,EF-1-1213,Exhaust fan run hours,"runtime,fan"
HX-1 PRI SUP TEMP,HX-1,sensor,input,degF,IP,60,120,PLANT-CTRL-01,AI,1214,41214,,point_list,HX-1-1214,Primary supply temperature,"temperature,primary"
HX-1 PRI RET TEMP,HX-1,sensor,input,degF,IP,60,140,PLANT-CTRL-01,AI,1215,41215,,point_list,HX-1-1215,Primary return temperature,"temperature,primary"
HX-1 SEC SUP TEMP,HX-1,sensor,input,degF,IP,60,120,PLANT-CTRL-01,AI,1216,41216,,point_list,HX-1-1216,Secondary supply temperature,"temperature,secondary"
HX-1 SEC RET TEMP,HX-1,sensor,input,degF,IP,60,140,PLANT-CTRL-01,AI,1217,41217,,point_list,HX-1-1217,Secondary return temperature,"temperature,secondary"
HX-1 BYPASS VLV,HX-1,actuator,output,pct,IP,0,100,PLANT-CTRL-01,AO,1218,41218,,point_list,HX-1-1218,Bypass valve command,"command,valve"
HX-1 DP,HX-1,sensor,input,psi,IP,0,20,PLANT-CTRL-01,AI,1219,41219,,point_list,HX-1-1219,Differential pressure,"pressure,hx"
HX-1 FLOW,HX-1,sensor,input,GPM,IP,0,250,PLANT-CTRL-01,AI,1220,41220,,point_list,HX-1-1220,Heat exchanger flow,"flow,hx"
HX-1 FOUL ALM,HX-1,alarm,input,,,,,PLANT-CTRL-01,BI,1221,41221,,point_list,HX-1-1221,Fouled exchanger alarm,"alarm,hx"
UH-1 ZN-T,UH-1,sensor,input,degF,IP,40,85,HEAT-CTRL-01,AI,1222,41222,,point_list,UH-1-1222,Zone temperature,"temperature,zone"
UH-1 ZN-T SP,UH-1,setpoint,input,degF,IP,55,72,HEAT-CTRL-01,AV,1223,41223,,point_list,UH-1-1223,Zone temperature setpoint,"setpoint,zone"
UH-1 FAN CMD,UH-1,status,output,,,,,HEAT-CTRL-01,BO,1224,41224,,point_list,UH-1-1224,Unit heater fan command,"command,fan"
UH-1 FAN STS,UH-1,status,input,,,,,HEAT-CTRL-01,BI,1225,41225,,point_list,UH-1-1225,Unit heater fan proof,"status,fan"
UH-1 HW VLV,UH-1,actuator,output,pct,IP,0,100,HEAT-CTRL-01,AO,1226,41226,,point_list,UH-1-1226,Heating valve command,"command,valve"
UH-1 LOW TEMP ALM,UH-1,alarm,input,,,,,HEAT-CTRL-01,BI,1227,41227,,point_list,UH-1-1227,Low space temperature alarm,"alarm,unit-heater"
RP-1 ZN-T,RP-1,sensor,input,degF,IP,55,85,HEAT-CTRL-01,AI,1228,41228,,point_list,RP-1-1228,Zone temperature,"temperature,zone"
RP-1 ZN-T SP,RP-1,setpoint,input,degF,IP,65,75,HEAT-CTRL-01,AV,1229,41229,,point_list,RP-1-1229,Zone temperature setpoint,"setpoint,zone"
RP-1 PANEL TEMP,RP-1,sensor,input,degF,IP,70,140,HEAT-CTRL-01,AI,1230,41230,,point_list,RP-1-1230,Radiant panel surface temperature,"temperature,panel"
RP-1 VALVE CMD,RP-1,actuator,output,pct,IP,0,100,HEAT-CTRL-01,AO,1231,41231,,point_list,RP-1-1231,Radiant panel valve command,"command,valve"
RP-1 CONDENSATION ALM,RP-1,alarm,input,,,,,HEAT-CTRL-01,BI,1232,41232,,point_list,RP-1-1232,Condensation alarm,"alarm,radiant-panel"
RP-1 FLOW,RP-1,sensor,input,GPM,IP,0,10,HEAT-CTRL-01,AI,1233,41233,,point_list,RP-1-1233,Radiant panel flow,"flow,radiant-panel"
DOAS-1 OAT,DOAS-1,sensor,input,degF,IP,-20,110,ROOF-CTRL-01,AI,1234,41234,,point_list,DOAS-1-1234,Outside air temperature,"temperature,outside-air"
DOAS-1 OAH,DOAS-1,sensor,input,pct,IP,0,100,ROOF-CTRL-01,AI,1235,41235,,point_list,DOAS-1-1235,Outside air humidity,"humidity,outside-air"
DOAS-1 DAT,DOAS-1,sensor,input,degF,IP,45,90,ROOF-CTRL-01,AI,1236,41236,,point_list,DOAS-1-1236,Discharge air temperature,"temperature,discharge-air"
DOAS-1 DAT-SP,DOAS-1,setpoint,input,degF,IP,50,65,ROOF-CTRL-01,AV,1237,41237,,point_list,DOAS-1-1237,Discharge air temperature setpoint,"setpoint,discharge-air"
DOAS-1 SF CMD,DOAS-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1238,41238,,point_list,DOAS-1-1238,Supply fan speed command,"command,supply-fan"
DOAS-1 SF STATUS,DOAS-1,status,input,,,,,ROOF-CTRL-01,BI,1239,41239,,point_list,DOAS-1-1239,Supply fan proof,"status,supply-fan"
DOAS-1 CLG VALVE,DOAS-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1240,41240,,point_list,DOAS-1-1240,Cooling valve command,"command,cooling-valve"
DOAS-1 HTG VALVE,DOAS-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1241,41241,,point_list,DOAS-1-1241,Heating valve command,"command,heating-valve"
DOAS-1 OA DAMPER,DOAS-1,actuator,output,pct,IP,0,100,ROOF-CTRL-01,AO,1242,41242,,point_list,DOAS-1-1242,Outside air damper command,"command,damper"
DOAS-1 FILTER DP,DOAS-1,sensor,input,inWC,IP,0,3,ROOF-CTRL-01,AI,1243,41243,,point_list,DOAS-1-1243,Filter differential pressure,"pressure,filter"
DOAS-1 WHEEL CMD,DOAS-1,status,output,,,,,ROOF-CTRL-01,BO,1244,41244,,point_list,DOAS-1-1244,Energy wheel enable command,"command,wheel"
DOAS-1 FROST ALM,DOAS-1,alarm,input,,,,,ROOF-CTRL-01,BI,1245,41245,,point_list,DOAS-1-1245,Energy wheel frost alarm,"alarm,wheel"
